 2026-07-30 21:32:03,882 - DEBUG - Start of factorial(50%)
 2026-07-30 21:32:28,640 - DEBUG - i is 6, total is 720
 2026-07-30 21:32:28,640 - DEBUG - i is 7, total is 5040
 2026-07-30 21:32:28,640 - DEBUG - i is 8, total is 40320
 2026-07-30 21:32:28,640 - DEBUG - i is 9, total is 362880
 2026-07-30 21:32:28,640 - DEBUG - i is 10, total is 3628800
 2026-07-30 21:32:28,640 - DEBUG - i is 11, total is 39916800
 2026-07-30 21:32:28,640 - DEBUG - i is 12, total is 479001600
 2026-07-30 21:32:28,640 - DEBUG - i is 13, total is 6227020800
 2026-07-30 21:32:28,640 - DEBUG - i is 14, total is 87178291200
 2026-07-30 21:32:28,640 - DEBUG - i is 15, total is 1307674368000
 2026-07-30 21:32:28,640 - DEBUG - i is 16, total is 20922789888000
 2026-07-30 21:32:28,641 - DEBUG - i is 17, total is 355687428096000
 2026-07-30 21:32:28,641 - DEBUG - i is 18, total is 6402373705728000
 2026-07-30 21:32:28,641 - DEBUG - i is 19, total is 121645100408832000
 2026-07-30 21:32:28,641 - DEBUG - i is 20, total is 2432902008176640000
 2026-07-30 21:32:28,641 - DEBUG - i is 21, total is 51090942171709440000
 2026-07-30 21:32:28,641 - DEBUG - i is 22, total is 1124000727777607680000
 2026-07-30 21:32:28,641 - DEBUG - i is 23, total is 25852016738884976640000
 2026-07-30 21:32:28,641 - DEBUG - i is 24, total is 620448401733239439360000
 2026-07-30 21:32:28,641 - DEBUG - i is 25, total is 15511210043330985984000000
 2026-07-30 21:32:28,641 - DEBUG - i is 26, total is 403291461126605635584000000
 2026-07-30 21:32:28,641 - DEBUG - i is 27, total is 10888869450418352160768000000
 2026-07-30 21:32:28,641 - DEBUG - i is 28, total is 304888344611713860501504000000
 2026-07-30 21:32:28,641 - DEBUG - i is 29, total is 8841761993739701954543616000000
 2026-07-30 21:32:28,641 - DEBUG - i is 30, total is 265252859812191058636308480000000
 2026-07-30 21:32:28,641 - DEBUG - i is 31, total is 8222838654177922817725562880000000
 2026-07-30 21:32:28,641 - DEBUG - i is 32, total is 263130836933693530167218012160000000
 2026-07-30 21:32:28,641 - DEBUG - i is 33, total is 8683317618811886495518194401280000000
 2026-07-30 21:32:28,641 - DEBUG - i is 34, total is 295232799039604140847618609643520000000
 2026-07-30 21:32:28,641 - DEBUG - i is 35, total is 10333147966386144929666651337523200000000
 2026-07-30 21:32:28,641 - DEBUG - i is 36, total is 371993326789901217467999448150835200000000
 2026-07-30 21:32:28,641 - DEBUG - i is 37, total is 13763753091226345046315979581580902400000000
 2026-07-30 21:32:28,641 - DEBUG - i is 38, total is 523022617466601111760007224100074291200000000
 2026-07-30 21:32:28,641 - DEBUG - i is 39, total is 20397882081197443358640281739902897356800000000
 2026-07-30 21:32:28,641 - DEBUG - i is 40, total is 815915283247897734345611269596115894272000000000
 2026-07-30 21:32:28,641 - DEBUG - i is 41, total is 33452526613163807108170062053440751665152000000000
 2026-07-30 21:32:28,641 - DEBUG - i is 42, total is 1405006117752879898543142606244511569936384000000000
 2026-07-30 21:32:28,641 - DEBUG - i is 43, total is 60415263063373835637355132068513997507264512000000000
 2026-07-30 21:32:28,641 - DEBUG - i is 44, total is 2658271574788448768043625811014615890319638528000000000
 2026-07-30 21:32:28,641 - DEBUG - i is 45, total is 119622220865480194561963161495657715064383733760000000000
 2026-07-30 21:32:28,641 - DEBUG - i is 46, total is 5502622159812088949850305428800254892961651752960000000000
 2026-07-30 21:32:28,641 - DEBUG - i is 47, total is 258623241511168180642964355153611979969197632389120000000000
 2026-07-30 21:32:28,641 - DEBUG - i is 48, total is 12413915592536072670862289047373375038521486354677760000000000
 2026-07-30 21:32:28,641 - DEBUG - i is 49, total is 608281864034267560872252163321295376887552831379210240000000000
 2026-07-30 21:32:28,641 - DEBUG - i is 50, total is 30414093201713378043612608166064768844377641568960512000000000000
 2026-07-30 21:32:28,641 - DEBUG - End of factorial(50%)
 2026-07-30 21:32:28,641 - DEBUG - End of programing
